chebi_id	proteintraitsmech_trait	cofactor_name	microgrowagents_cofactor_id	microgrowagents_category	pfas_name
CHEBI:1989	proteintraitsmech:COFACTOR_REQ_CHEBI_1989	(6R)-5,10-methylenetetrahydrofolic acid			
CHEBI:4222	proteintraitsmech:COFACTOR_REQ_CHEBI_4222	D-pantetheine 4'-phosphate			
CHEBI:4356	proteintraitsmech:COFACTOR_REQ_CHEBI_4356	desferrioxamine B			
CHEBI:4746	proteintraitsmech:COFACTOR_REQ_CHEBI_4746	echinenone			
CHEBI:7061	proteintraitsmech:COFACTOR_REQ_CHEBI_7061	myxochelin B			
CHEBI:9532	proteintraitsmech:COFACTOR_REQ_CHEBI_9532	TPP	thiamine_pyrophosphate	vitamins	
CHEBI:9973	proteintraitsmech:COFACTOR_REQ_CHEBI_9973	vibriobactin			
CHEBI:15346	proteintraitsmech:COFACTOR_REQ_CHEBI_15346	CoA	coenzyme_a	energy_cofactors	
CHEBI:15351	proteintraitsmech:COFACTOR_REQ_CHEBI_15351	acetyl-CoA	acetyl_coa	energy_cofactors	
CHEBI:15361	proteintraitsmech:COFACTOR_REQ_CHEBI_15361	H4MPT	tetrahydromethanopterin	other	
CHEBI:15372	proteintraitsmech:COFACTOR_REQ_CHEBI_15372	5,6,7,8-tetrahydrobiopterin			
CHEBI:15373	proteintraitsmech:COFACTOR_REQ_CHEBI_15373	biopterin			
CHEBI:15414	proteintraitsmech:COFACTOR_REQ_CHEBI_15414	SAM	s_adenosylmethionine	energy_cofactors	
CHEBI:15422	proteintraitsmech:COFACTOR_REQ_CHEBI_15422	ATP	atp	nucleotides	
CHEBI:15635	proteintraitsmech:COFACTOR_REQ_CHEBI_15635	THF	tetrahydrofolate	vitamins	
CHEBI:15636	proteintraitsmech:COFACTOR_REQ_CHEBI_15636	(6R)-5,10-methylenetetrahydrofolate(2−)			
CHEBI:15713	proteintraitsmech:COFACTOR_REQ_CHEBI_15713	UTP	utp	nucleotides	
CHEBI:15721	proteintraitsmech:COFACTOR_REQ_CHEBI_15721	CoB	coenzyme_b	other	
CHEBI:15846	proteintraitsmech:COFACTOR_REQ_CHEBI_15846	NAD+	nad	nucleotides	NAD
CHEBI:15940	proteintraitsmech:COFACTOR_REQ_CHEBI_15940	nicotinic acid	niacin	vitamins	
CHEBI:15956	proteintraitsmech:COFACTOR_REQ_CHEBI_15956	vitamin B7	biotin	vitamins	
CHEBI:15982	proteintraitsmech:COFACTOR_REQ_CHEBI_15982	cob(I)alamin			
CHEBI:15996	proteintraitsmech:COFACTOR_REQ_CHEBI_15996	GTP	gtp	nucleotides	
CHEBI:16027	proteintraitsmech:COFACTOR_REQ_CHEBI_16027	adenosine 5'-monophosphate			
CHEBI:16048	proteintraitsmech:COFACTOR_REQ_CHEBI_16048	FMNH2			
CHEBI:16189	proteintraitsmech:COFACTOR_REQ_CHEBI_16189	sulfate			
CHEBI:16238	proteintraitsmech:COFACTOR_REQ_CHEBI_16238	FAD	flavin_adenine_dinucleotide	vitamins	FAD
CHEBI:16240	proteintraitsmech:COFACTOR_REQ_CHEBI_16240	hydrogen peroxide			
CHEBI:16304	proteintraitsmech:COFACTOR_REQ_CHEBI_16304	cob(II)alamin			
CHEBI:16335	proteintraitsmech:COFACTOR_REQ_CHEBI_16335	vitamin B12	cobalamin	vitamins	cobalamin
CHEBI:16356	proteintraitsmech:COFACTOR_REQ_CHEBI_16356	cGMP	cyclic_gmp	energy_cofactors	
CHEBI:16374	proteintraitsmech:COFACTOR_REQ_CHEBI_16374	vitamin K2	menaquinone	vitamins	
CHEBI:16389	proteintraitsmech:COFACTOR_REQ_CHEBI_16389	coenzyme Q	ubiquinone	vitamins	
CHEBI:16474	proteintraitsmech:COFACTOR_REQ_CHEBI_16474	NADPH	nadph	nucleotides	
CHEBI:16509	proteintraitsmech:COFACTOR_REQ_CHEBI_16509	1,4-benzoquinone			
CHEBI:16646	proteintraitsmech:COFACTOR_REQ_CHEBI_16646	pantothenate	pantothenic_acid	vitamins	
CHEBI:16680	proteintraitsmech:COFACTOR_REQ_CHEBI_16680	S-adenosyl-L-homocysteine			
CHEBI:16709	proteintraitsmech:COFACTOR_REQ_CHEBI_16709	pyridoxine			
CHEBI:16761	proteintraitsmech:COFACTOR_REQ_CHEBI_16761	ADP	adp	nucleotides	
CHEBI:16768	proteintraitsmech:COFACTOR_REQ_CHEBI_16768	mycothiol			
CHEBI:16848	proteintraitsmech:COFACTOR_REQ_CHEBI_16848	coenzyme γ-F420-2			
CHEBI:16856	proteintraitsmech:COFACTOR_REQ_CHEBI_16856	glutathione			
CHEBI:16858	proteintraitsmech:COFACTOR_REQ_CHEBI_16858	pantetheine 4'-phosphate			
CHEBI:16908	proteintraitsmech:COFACTOR_REQ_CHEBI_16908	NADH	nadh	nucleotides	
CHEBI:17015	proteintraitsmech:COFACTOR_REQ_CHEBI_17015	vitamin B2	riboflavin	vitamins	
CHEBI:17154	proteintraitsmech:COFACTOR_REQ_CHEBI_17154	nicotinamide			
CHEBI:17310	proteintraitsmech:COFACTOR_REQ_CHEBI_17310	pyridoxal			
CHEBI:17401	proteintraitsmech:COFACTOR_REQ_CHEBI_17401	myo-inositol hexakisphosphate			
CHEBI:17489	proteintraitsmech:COFACTOR_REQ_CHEBI_17489	cAMP	cyclic_amp	energy_cofactors	
CHEBI:17544	proteintraitsmech:COFACTOR_REQ_CHEBI_17544	hydrogencarbonate			
CHEBI:17579	proteintraitsmech:COFACTOR_REQ_CHEBI_17579	β-carotene			
CHEBI:17594	proteintraitsmech:COFACTOR_REQ_CHEBI_17594	hydroquinone			
CHEBI:17601	proteintraitsmech:COFACTOR_REQ_CHEBI_17601	6,7-dimethyl-8-(1-D-ribityl)lumazine			
CHEBI:17621	proteintraitsmech:COFACTOR_REQ_CHEBI_17621	FMN	flavin_mononucleotide	vitamins	
CHEBI:17627	proteintraitsmech:COFACTOR_REQ_CHEBI_17627	ferroheme b			
CHEBI:17677	proteintraitsmech:COFACTOR_REQ_CHEBI_17677	CTP	ctp	nucleotides	
CHEBI:17679	proteintraitsmech:COFACTOR_REQ_CHEBI_17679	5-hydroxybenzimidazolylcob(I)amide			
CHEBI:17694	proteintraitsmech:COFACTOR_REQ_CHEBI_17694	dihydrolipoamide			
CHEBI:17755	proteintraitsmech:COFACTOR_REQ_CHEBI_17755	CoM	coenzyme_m	other	
CHEBI:17803	proteintraitsmech:COFACTOR_REQ_CHEBI_17803	dehydro-D-arabinono-1,4-lactone			
CHEBI:17898	proteintraitsmech:COFACTOR_REQ_CHEBI_17898	retinal	retinal	other	
CHEBI:17905	proteintraitsmech:COFACTOR_REQ_CHEBI_17905	coenzyme M			
CHEBI:17980	proteintraitsmech:COFACTOR_REQ_CHEBI_17980	PAPS	phosphoadenosine_phosphosulfate	energy_cofactors	
CHEBI:17996	proteintraitsmech:COFACTOR_REQ_CHEBI_17996	chloride			
CHEBI:18009	proteintraitsmech:COFACTOR_REQ_CHEBI_18009	NADP+	nadp	nucleotides	
CHEBI:18023	proteintraitsmech:COFACTOR_REQ_CHEBI_18023	sirohydrochlorin			
CHEBI:18067	proteintraitsmech:COFACTOR_REQ_CHEBI_18067	phylloquinone			
CHEBI:18157	proteintraitsmech:COFACTOR_REQ_CHEBI_18157	aerobactin			
CHEBI:18230	proteintraitsmech:COFACTOR_REQ_CHEBI_18230	chlorophyll a			
CHEBI:18248	proteintraitsmech:COFACTOR_REQ_CHEBI_18248	Fe	iron_ion	metals	
CHEBI:18315	proteintraitsmech:COFACTOR_REQ_CHEBI_18315	PQQ	pyrroloquinoline_quinone	other	
CHEBI:18405	proteintraitsmech:COFACTOR_REQ_CHEBI_18405	PLP	pyridoxal_phosphate	vitamins	
CHEBI:18408	proteintraitsmech:COFACTOR_REQ_CHEBI_18408	cobamamide			
CHEBI:18420	proteintraitsmech:COFACTOR_REQ_CHEBI_18420	Mg	magnesium_ion	metals	
CHEBI:23354	proteintraitsmech:COFACTOR_REQ_CHEBI_23354	coenzyme			
CHEBI:23357	proteintraitsmech:COFACTOR_REQ_CHEBI_23357	cofactor			
CHEBI:23378	proteintraitsmech:COFACTOR_REQ_CHEBI_23378	copper cation			
