# GO term -> ChEBI (logical-definition cross-products, go-plus.json)
GO:0000017	CHEBI:60979
GO:0000023	CHEBI:17306
GO:0000024	CHEBI:17306
GO:0000025	CHEBI:17306
GO:0000035	CHEBI:22221
GO:0000038	CHEBI:58950
GO:0000041	CHEBI:33515
GO:0000049	CHEBI:17843
GO:0000050	CHEBI:16199
GO:0000062	CHEBI:77636
GO:0000064	CHEBI:46911
GO:0000095	CHEBI:59789
GO:0000096	CHEBI:26834
GO:0000097	CHEBI:26834
GO:0000098	CHEBI:26834
GO:0000099	CHEBI:26834
GO:0000100	CHEBI:58252
GO:0000101	CHEBI:26834
GO:0000102	CHEBI:57844
GO:0000105	CHEBI:57595
GO:0000162	CHEBI:57912
GO:0000166	CHEBI:36976
GO:0000255	CHEBI:15676
GO:0000256	CHEBI:15676
GO:0000270	CHEBI:8005
GO:0000271	CHEBI:18154
GO:0000272	CHEBI:18154
GO:0000287	CHEBI:18420
GO:0000295	CHEBI:61293
GO:0000296	CHEBI:45725
GO:0000297	CHEBI:45725
GO:0000302	CHEBI:26523
GO:0000303	CHEBI:18421
GO:0000304	CHEBI:26689
GO:0000305	CHEBI:61073
GO:0000316	CHEBI:17359
GO:0000319	CHEBI:17359
GO:0000514	CHEBI:14321;CHEBI:15378;CHEBI:61085
GO:0000515	CHEBI:15378;CHEBI:29985;CHEBI:29991
GO:0000770	CHEBI:38579
GO:0000822	CHEBI:58130
GO:0001172	CHEBI:33697
GO:0001406	CHEBI:77847
GO:0001407	CHEBI:77847
GO:0001408	CHEBI:61292
GO:0001409	CHEBI:61292
GO:0001516	CHEBI:59326
GO:0001523	CHEBI:26537
GO:0001530	CHEBI:16412
GO:0001540	CHEBI:64645
GO:0001565	CHEBI:37532
GO:0001572	CHEBI:17950
GO:0001573	CHEBI:28892
GO:0001574	CHEBI:28892
GO:0001575	CHEBI:61360
GO:0001576	CHEBI:61360
GO:0001579	CHEBI:59558
GO:0001595	CHEBI:48433
GO:0001609	CHEBI:16335
GO:0001614	CHEBI:26395
GO:0001621	CHEBI:456216
GO:0001632	CHEBI:57461
GO:0001646	CHEBI:58165
GO:0001653	CHEBI:60466
GO:0001676	CHEBI:57560
GO:0001678	CHEBI:4167
GO:0001692	CHEBI:58432
GO:0001694	CHEBI:58432
GO:0001695	CHEBI:58432
GO:0001761	CHEBI:57966
GO:0001762	CHEBI:57966
GO:0001785	CHEBI:26346
GO:0001786	CHEBI:57262
GO:0001820	CHEBI:350546
GO:0001821	CHEBI:58432
GO:0001872	CHEBI:37671
GO:0001873	CHEBI:18154
GO:0001874	CHEBI:37671
GO:0001875	CHEBI:16412
GO:0001876	CHEBI:59524
GO:0001877	CHEBI:59524
GO:0001882	CHEBI:33838
GO:0001883	CHEBI:26394
GO:0001884	CHEBI:26440
GO:0001887	CHEBI:26628
GO:0001951	CHEBI:4167
GO:0001972	CHEBI:15036
GO:0001975	CHEBI:2679
GO:0002047	CHEBI:36674
GO:0002049	CHEBI:84046
GO:0002050	CHEBI:84046
GO:0002054	CHEBI:18282
GO:0002055	CHEBI:16708
GO:0002056	CHEBI:16040
GO:0002057	CHEBI:16235
GO:0002058	CHEBI:17568
GO:0002059	CHEBI:17821
GO:0002060	CHEBI:26386
GO:0002061	CHEBI:26432
GO:0002134	CHEBI:46398
GO:0002135	CHEBI:37563
GO:0002138	CHEBI:15036
GO:0002790	CHEBI:60466
GO:0002927	CHEBI:74418
GO:0002936	CHEBI:132988
GO:0002949	CHEBI:74418
GO:0003333	CHEBI:35238
GO:0003676	CHEBI:33696
GO:0003677	CHEBI:16991
GO:0003690	CHEBI:4705
GO:0003697	CHEBI:9160
GO:0003707	CHEBI:35341
GO:0003723	CHEBI:33697
GO:0003725	CHEBI:67208
GO:0003729	CHEBI:33699
