observation_id	protein_id	descriptor_id	region_start	region_end	value	unit	ph	temperature_celsius	buffer	assay	source_locator	uncertainty	reporting_gaps	evidence	proteoform	normalization	conditions	method_parameters
ptm-observation:c87788d117ac4085932a1d542c26a5b89303d41407cd0dc3a22fed57419f5451	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	54.9	degC	1.8	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 1.8; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":1.8}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 1.8; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:f75f5628df7dc52a31d33b2bd2f8d8da3ff17ec45fa6b46e17de6d76e5ae7073	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	56.9	degC	2.0	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 2.0; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":2.0}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 2.0; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:13ecc6a878d0f6730f36a440deae9e74cfb2fe22cc637e7b0f26bb6009866a88	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	58.5	degC	2.2	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 2.2; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":2.2}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 2.2; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:b7a274a0d3468276f206d602304b410c509d525abc52d735d668cd0b70db2f12	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	64.2	degC	2.6	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 2.6; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":2.6}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 2.6; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:3103f3cd4c802e1b6e7d537575f75e5f8419823cc81a9b921e2eac631167e559	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	68.3	degC	2.8	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 2.8; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":2.8}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 2.8; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:9a8ebe5f2a8b3e197b94dbf3ce012e96f4c1e6712441a76f96380825c84a74a8	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	73.3	degC	2.95	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 2.95; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":2.95}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 2.95; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:c9e34b1a05fd75321856f79d24872ac99fa314a996c35e3b905f40135e83c4fa	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	75.4	degC	3.05	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 3.05; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":3.05}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 3.05; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:9734b5b2d3741aa9374adcb4b1b461bebee78bc231eac651639a93178855a416	UniProtKB:P0CG47	proteintraitsmech:B25	1	76	78.6	degC	3.25	not reported	not reported	Thermal unfolding monitored by circular dichroism	Table 1, wt-ub Tm column, pH 3.25; CD Spectroscopy and fluorescence measurements	"{""description"":""Table 1 states an estimated Tm error of plus/minus 0.1 degrees C; not identified as SD or SE."",""kind"":""estimated error"",""value"":0.1}"	Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""concentration_molar"":1.5e-05,""ph"":3.25}"	"{""assay"":""Thermal unfolding monitored by circular dichroism"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Table 1, wt-ub Tm column, pH 3.25; CD Spectroscopy and fluorescence measurements"",""temperature_ramp_celsius_per_hour"":""60"",""transition_criterion"":""zero crossing of second derivative of the thermal melting curve"",""uncertainty_status"":""Source-estimated error; not identified as SD or SE"",""unreported_conditions"":""Buffer composition, ionic strength and scan reversibility for Table 1 not specified; no equilibrium reversibility claim."",""wavelength_nm"":""200""}"
ptm-observation:6b49c210501b457f2f65c6ed7008615462f4a4a11eb9b65d881b477e006fa862	UniProtKB:P0CG47	proteintraitsmech:B26	1	76	26.16	kJ/mol	2.0	25.0	10 mM glycine/HCl	Global equilibrium fluorescence and stopped-flow fit	Table 2, wt-ub DeltaG_un column and footnotes	not reported	Ionic strength, pressure and uncertainty of the Table 2 free-energy estimate not reported; equilibrium and kinetic assays used different protein concentrations.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain	G(unfolded)-G(native)	"{""buffer"":""10 mM glycine/HCl"",""ph"":2.0,""temperature_celsius"":25.0}"	"{""assay"":""Global equilibrium fluorescence and stopped-flow fit"",""equilibrium_model"":""sequential three-state on-pathway U-I-N, global fit"",""reference_state"":""zero guanidinium chloride concentration; extrapolated from the fitted denaturant series"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""sign_conversion"":""multiply source value by -1"",""source_locator"":""Table 2, wt-ub DeltaG_un column and footnotes"",""source_sign_convention"":""-RT ln(K_ui * (k_in/k_ni)) = G(native)-G(unfolded)"",""source_value_kj_per_mol"":""-26.16"",""uncertainty_status"":""Not reported for this extracted value"",""unreported_conditions"":""Ionic strength, pressure and uncertainty of the Table 2 free-energy estimate not reported; equilibrium and kinetic assays used different protein concentrations.""}"
ptm-observation:96b72d6e8a4a0985b35d2a6b65d141a67ff2ce6b34b1205fd8aa105316fc9418	UniProtKB:P0CG47	proteintraitsmech:B27	1	76	3.33	mol/L	2.0	25.0	not reported	Equilibrium chemical denaturation monitored by tyrosine fluorescence	Results: Effect of (2S,4R)-4-fluoroproline on equilibrium stability, wt-ub at pH 2.0	not reported	Midpoint uncertainty and complete solution composition not given for these values; no concentration or buffer default inferred.	https://doi.org/10.1371/journal.pone.0019425	Untagged wild-type human ubiquitin, free 76-residue chain		"{""ph"":2.0,""temperature_celsius"":25.0}"	"{""assay"":""Equilibrium chemical denaturation monitored by tyrosine fluorescence"",""denaturant"":""guanidinium chloride"",""equilibration_hours"":""2"",""sample_identity"":""wt-ub; recombinant human ubiquitin"",""sequence_identity_basis"":""Study identifies 76-residue wild-type human ubiquitin and intact mass 8564.0 Da; mapped to P0CG47 1..76 as a reference frame, not a genomic-origin assertion."",""source_locator"":""Results: Effect of (2S,4R)-4-fluoroproline on equilibrium stability, wt-ub at pH 2.0"",""transition_criterion"":""source-reported equilibrium unfolding midpoint"",""uncertainty_status"":""Not reported for this extracted value"",""unreported_conditions"":""Midpoint uncertainty and complete solution composition not given for these values; no concentration or buffer default inferred.""}"
