subject	predicate	object	relation_source
CATH:1.10.10.10	biolink:overlaps	CDD:cd20049	seq-struct-coord-overlap|UniProtKB:Q12946,UniProtKB:Q61080|n=2|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.10	biolink:overlaps	PROSITE:PS50039	seq-struct-coord-overlap|UniProtKB:Q61572|n=1|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1010	biolink:overlaps	InterPro:IPR041005	seq-struct-coord-overlap|UniProtKB:Q58295|n=1|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1010	biolink:overlaps	Pfam:PF18714	seq-struct-coord-overlap|UniProtKB:Q58295|n=1|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1020	biolink:related_to	InterPro:IPR041851	seq-struct-coord-overlap|UniProtKB:P04993|n=1|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1050	biolink:overlaps	InterPro:IPR007722	seq-struct-coord-overlap|UniProtKB:O62255,UniProtKB:P53550,UniProtKB:Q8GW31,UniProtKB:Q8IU60,UniProtKB:Q9CYC6|n=5|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1050	biolink:overlaps	Pfam:PF05026	seq-struct-coord-overlap|UniProtKB:Q8GW31|n=1|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1050	biolink:part_of	InterPro:IPR036189	seq-struct-coord-overlap|UniProtKB:O62255,UniProtKB:P53550,UniProtKB:Q8GW31,UniProtKB:Q8IU60,UniProtKB:Q9CYC6|n=5|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1070	biolink:overlaps	InterPro:IPR018473	seq-struct-coord-overlap|UniProtKB:P12258,UniProtKB:Q5T7W0,UniProtKB:Q80YY7|n=3|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1070	biolink:overlaps	Pfam:PF10683	seq-struct-coord-overlap|UniProtKB:P12258,UniProtKB:Q5T7W0,UniProtKB:Q80YY7|n=3|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1080	biolink:overlaps	InterPro:IPR024263	seq-struct-coord-overlap|UniProtKB:P38960|n=1|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1080	biolink:overlaps	Pfam:PF12659	seq-struct-coord-overlap|UniProtKB:P38960|n=1|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1100	biolink:overlaps	CDD:cd19943	seq-struct-coord-overlap|UniProtKB:P08201,UniProtKB:P42433,UniProtKB:P42435|n=3|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1100	biolink:overlaps	InterPro:IPR007419	seq-struct-coord-overlap|UniProtKB:P42433,UniProtKB:P42435|n=2|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1100	biolink:part_of	InterPro:IPR012744	seq-struct-coord-overlap|UniProtKB:P08201,UniProtKB:P42433,UniProtKB:P42435|n=3|UniProt:2026_02,InterPro:109.0
CATH:1.10.10.1100	biolink:part_of	NCBIfam:TIGR02374	seq-struct-coord-overlap|UniProtKB:P08201,UniProtKB:P42433,UniProtKB:P42435|n=3|UniProt:2026_02,InterPro:109.0
