subject	predicate	object	relation_source
CDD:cd00001	biolink:close_match	InterPro:IPR004720	interpro:cdd
CDD:cd00006	biolink:close_match	InterPro:IPR033887	interpro:cdd
CDD:cd00015	biolink:close_match	InterPro:IPR014760	interpro:cdd
CDD:cd00017	biolink:close_match	InterPro:IPR000020	interpro:cdd
CDD:cd00018	biolink:close_match	InterPro:IPR001471	interpro:cdd
CDD:cd00022	biolink:close_match	InterPro:IPR001370	interpro:cdd
CDD:cd00023	biolink:close_match	InterPro:IPR000877	interpro:cdd
CDD:cd00028	biolink:close_match	InterPro:IPR001480	interpro:cdd
CDD:cd00032	biolink:close_match	InterPro:IPR015917	interpro:cdd
CDD:cd00033	biolink:close_match	InterPro:IPR000436	interpro:cdd
CDD:cd00038	biolink:close_match	InterPro:IPR000595	interpro:cdd
CDD:cd00041	biolink:close_match	InterPro:IPR000859	interpro:cdd
CDD:cd00042	biolink:close_match	InterPro:IPR000010	interpro:cdd
CDD:cd00044	biolink:close_match	InterPro:IPR001300	interpro:cdd
CDD:cd00051	biolink:close_match	InterPro:IPR002048	interpro:cdd
CDD:cd00052	biolink:close_match	InterPro:IPR000261	interpro:cdd
CDD:cd00055	biolink:close_match	InterPro:IPR002049	interpro:cdd
CDD:cd00056	biolink:close_match	InterPro:IPR003265	interpro:cdd
CDD:cd00057	biolink:close_match	InterPro:IPR000421	interpro:cdd
CDD:cd00058	biolink:close_match	InterPro:IPR056378	interpro:cdd
CDD:cd00061	biolink:close_match	InterPro:IPR000083	interpro:cdd
CDD:cd00062	biolink:close_match	InterPro:IPR000562	interpro:cdd
CDD:cd00063	biolink:close_match	InterPro:IPR003961	interpro:cdd
CDD:cd00064	biolink:close_match	InterPro:IPR006212	interpro:cdd
CDD:cd00067	biolink:close_match	InterPro:IPR001138	interpro:cdd
CDD:cd00068	biolink:close_match	InterPro:IPR015898	interpro:cdd
CDD:cd00070	biolink:close_match	InterPro:IPR001079	interpro:cdd
CDD:cd00072	biolink:close_match	InterPro:IPR003169	interpro:cdd
CDD:cd00073	biolink:close_match	InterPro:IPR005818	interpro:cdd
CDD:cd00074	biolink:close_match	InterPro:IPR061508	interpro:cdd
CDD:cd00077	biolink:close_match	InterPro:IPR003607	interpro:cdd
CDD:cd00078	biolink:close_match	InterPro:IPR000569	interpro:cdd
