subject	predicate	object	relation_source
CATH:3.40.109.10	biolink:close_match	InterPro:IPR000415	residue-identity+interpro-member|UniProtKB:P38489,UniProtKB:P75894,UniProtKB:Q6PHW0|n=3
CATH:3.40.366.10	biolink:close_match	InterPro:IPR001227	residue-identity+interpro-member|UniProtKB:O34877,UniProtKB:Q7DFV4,UniProtKB:Q8IVS2|n=3
CATH:3.40.50.1860	biolink:close_match	InterPro:IPR001920	residue-identity+interpro-member|UniProtKB:O05412,UniProtKB:P0AE28,UniProtKB:P32960|n=3
CATH:3.40.920.10	biolink:close_match	InterPro:IPR002869	residue-identity+interpro-member|UniProtKB:P39692,UniProtKB:Q57717,UniProtKB:Q57956|n=3
CATH:3.10.520.10	biolink:close_match	InterPro:IPR003374	residue-identity+interpro-member|UniProtKB:P0AB85,UniProtKB:Q58921|n=2
CATH:3.30.1360.30	biolink:close_match	InterPro:IPR004115	residue-identity+interpro-member|UniProtKB:F4JJT9,UniProtKB:O32038,UniProtKB:Q60325|n=3
CATH:3.60.120.10	biolink:close_match	InterPro:IPR005801	residue-identity+interpro-member|UniProtKB:P28820,UniProtKB:P32068,UniProtKB:Q9S7H8|n=3
CATH:1.10.1200.30	biolink:close_match	InterPro:IPR008916	residue-identity+interpro-member|UniProtKB:P62683,UniProtKB:P62684,UniProtKB:P63128|n=3
CATH:1.20.120.530	biolink:close_match	InterPro:IPR008920	residue-identity+interpro-member|UniProtKB:P0A8V6,UniProtKB:P0A8W0,UniProtKB:P31460|n=3
CATH:1.50.10.100	biolink:close_match	InterPro:IPR008929	residue-identity+interpro-member|UniProtKB:Q8BLI4,UniProtKB:Q8IZU8,UniProtKB:Q9UL01|n=3
CATH:1.10.555.10	biolink:close_match	InterPro:IPR008936	residue-identity+interpro-member|UniProtKB:P38870,UniProtKB:Q15311,UniProtKB:Q62172|n=3
CATH:1.10.575.10	biolink:close_match	InterPro:IPR008947	residue-identity+interpro-member|UniProtKB:F4JJL3,UniProtKB:Q9C9G4,UniProtKB:Q9SXA6|n=3
CATH:1.10.1450.10	biolink:close_match	InterPro:IPR008952	residue-identity+interpro-member|UniProtKB:P35762|n=1
CATH:6.10.360.10	biolink:close_match	InterPro:IPR008954	residue-identity+interpro-member|UniProtKB:Q24564,UniProtKB:Q5EBJ4,UniProtKB:Q8TAM6|n=3
CATH:2.60.210.10	biolink:close_match	InterPro:IPR008974	residue-identity+interpro-member|UniProtKB:A8MQL1|n=1
CATH:3.90.310.10	biolink:close_match	InterPro:IPR008981	residue-identity+interpro-member|UniProtKB:P10404,UniProtKB:P11370,UniProtKB:P61550|n=3
CATH:2.60.120.40	biolink:close_match	InterPro:IPR008983	residue-identity+interpro-member|UniProtKB:O35235|n=1
CATH:2.30.30.360	biolink:close_match	InterPro:IPR008989	residue-identity+interpro-member|UniProtKB:P35579,UniProtKB:Q8VDD5,UniProtKB:Q99323|n=3
CATH:3.90.740.10	biolink:close_match	InterPro:IPR009008	residue-identity+interpro-member|UniProtKB:Q9P2J5|n=1
CATH:2.70.130.10	biolink:close_match	InterPro:IPR009011	residue-identity+interpro-member|UniProtKB:P20645,UniProtKB:P46989,UniProtKB:Q13438|n=3
CATH:2.30.22.10	biolink:close_match	InterPro:IPR009012	residue-identity+interpro-member|UniProtKB:P09372,UniProtKB:Q8LB47,UniProtKB:Q9FLP3|n=3
CATH:2.40.155.10	biolink:close_match	InterPro:IPR009017	residue-identity+interpro-member|UniProtKB:P10493,UniProtKB:P14543,UniProtKB:Q96RW7|n=3
CATH:3.30.720.10	biolink:close_match	InterPro:IPR009018	residue-identity+interpro-member|UniProtKB:O04421,UniProtKB:P37108,UniProtKB:P49458|n=3
CATH:3.30.70.420	biolink:close_match	InterPro:IPR009023	residue-identity+interpro-member|UniProtKB:P04035,UniProtKB:P14773,UniProtKB:Q01237|n=3
CATH:2.10.250.10	biolink:close_match	InterPro:IPR009033	residue-identity+interpro-member|UniProtKB:P14211,UniProtKB:P27797,UniProtKB:P35564|n=3
CATH:3.30.1380.10	biolink:close_match	InterPro:IPR009045	residue-identity+interpro-member|UniProtKB:P0AB06,UniProtKB:P0C0T5,UniProtKB:P77790|n=3
CATH:1.10.1060.10	biolink:close_match	InterPro:IPR009051	residue-identity+interpro-member|UniProtKB:P76440,UniProtKB:Q58154,UniProtKB:Q58274|n=3
CATH:1.10.287.370	biolink:close_match	InterPro:IPR009053	residue-identity+interpro-member|UniProtKB:P57741,UniProtKB:Q2HIK4,UniProtKB:Q94AF7|n=3
CATH:1.10.287.190	biolink:close_match	InterPro:IPR009083	residue-identity+interpro-member|UniProtKB:P32774,UniProtKB:P52657,UniProtKB:Q80ZM7|n=3
CATH:2.30.18.10	biolink:close_match	InterPro:IPR009088	residue-identity+interpro-member|UniProtKB:P32773,UniProtKB:P52655,UniProtKB:Q99PM3|n=3
CATH:2.130.10.30	biolink:close_match	InterPro:IPR009091	residue-identity+interpro-member|UniProtKB:Q8BK67,UniProtKB:Q92834,UniProtKB:Q9P258|n=3
CATH:3.40.50.10150	biolink:close_match	InterPro:IPR010254	residue-identity+interpro-member|UniProtKB:Q57912|n=1
CATH:3.10.390.10	biolink:close_match	InterPro:IPR010919	residue-identity+interpro-member|UniProtKB:G5EDM7,UniProtKB:O35892,UniProtKB:Q8GZA8|n=3
CATH:4.10.520.10	biolink:close_match	InterPro:IPR010992	residue-identity+interpro-member|UniProtKB:P08821,UniProtKB:P0ACF0,UniProtKB:P68573|n=3
CATH:1.10.150.130	biolink:close_match	InterPro:IPR010998	residue-identity+interpro-member|UniProtKB:O34336,UniProtKB:P24218,UniProtKB:P32504|n=3
CATH:3.20.20.20	biolink:close_match	InterPro:IPR011005	residue-identity+interpro-member|UniProtKB:F4K0E8,UniProtKB:Q57583,UniProtKB:Q58264|n=3
CATH:1.10.720.40	biolink:close_match	InterPro:IPR011015	residue-identity+interpro-member|UniProtKB:O08579,UniProtKB:P20240,UniProtKB:P50402|n=3
CATH:1.25.10.20	biolink:close_match	InterPro:IPR011030	residue-identity+interpro-member|UniProtKB:E9Q414,UniProtKB:O08601,UniProtKB:P55157|n=3
CATH:2.150.10.10	biolink:close_match	InterPro:IPR011049	residue-identity+interpro-member|UniProtKB:A0A0U1RQI7|n=1
CATH:2.70.70.10	biolink:close_match	InterPro:IPR011055	residue-identity+interpro-member|UniProtKB:O32130,UniProtKB:P37690,UniProtKB:Q21241|n=3
CATH:2.30.30.110	biolink:close_match	InterPro:IPR011067	residue-identity+interpro-member|UniProtKB:P0AE70,UniProtKB:P33647,UniProtKB:P96622|n=3
CATH:3.30.200.40	biolink:close_match	InterPro:IPR011145	residue-identity+interpro-member|UniProtKB:G5EFS4,UniProtKB:Q06151,UniProtKB:Q12123|n=3
CATH:2.60.40.1280	biolink:close_match	InterPro:IPR011252	residue-identity+interpro-member|UniProtKB:P20840|n=1
CATH:3.20.80.10	biolink:close_match	InterPro:IPR011256	residue-identity+interpro-member|UniProtKB:E9Q137,UniProtKB:Q9Y6I9|n=2
CATH:2.170.150.10	biolink:close_match	InterPro:IPR011323	residue-identity+interpro-member|UniProtKB:P31265,UniProtKB:Q9U1X4,UniProtKB:Q9VLP3|n=3
CATH:2.20.25.30	biolink:close_match	InterPro:IPR011331	residue-identity+interpro-member|UniProtKB:P61513,UniProtKB:P61927,UniProtKB:Q9D823|n=3
CATH:3.30.1700.10	biolink:close_match	InterPro:IPR011334	residue-identity+interpro-member|UniProtKB:F4IAT8,UniProtKB:F4IAW1,UniProtKB:P0A725|n=3
CATH:3.40.1350.10	biolink:close_match	InterPro:IPR011856	residue-identity+interpro-member|UniProtKB:P39792,UniProtKB:Q57920,UniProtKB:Q9LSS3|n=3
CATH:1.10.490.10	biolink:close_match	InterPro:IPR012292	residue-identity+interpro-member|UniProtKB:P68871,UniProtKB:Q8WWM9,UniProtKB:Q9CX80|n=3
CATH:3.30.310.10	biolink:close_match	InterPro:IPR012295	residue-identity+interpro-member|UniProtKB:P20226,UniProtKB:P20227,UniProtKB:P29037|n=3
CATH:1.25.40.30	biolink:close_match	InterPro:IPR012331	residue-identity+interpro-member|UniProtKB:Q5M6W3,UniProtKB:Q8NHS4|n=2
CATH:2.160.20.20	biolink:close_match	InterPro:IPR012332	residue-identity+interpro-member|UniProtKB:P45508,UniProtKB:P77552,UniProtKB:Q9JMS5|n=3
CATH:2.160.20.10	biolink:close_match	InterPro:IPR012334	residue-identity+interpro-member|UniProtKB:Q8VYZ3|n=1
CATH:3.40.710.10	biolink:close_match	InterPro:IPR012338	residue-identity+interpro-member|UniProtKB:P0AD70,UniProtKB:P24228,UniProtKB:P39844|n=3
CATH:1.50.10.10	biolink:close_match	InterPro:IPR012341	residue-identity+interpro-member|UniProtKB:Q8H116,UniProtKB:Q9C512,UniProtKB:Q9LQF2|n=3
CATH:2.60.40.630	biolink:close_match	InterPro:IPR012345	residue-identity+interpro-member|UniProtKB:P40763,UniProtKB:P42227,UniProtKB:Q20977|n=3
