subject	predicate	object	relation_source
COG:COG0005	biolink:close_match	OMA:F0000198	orthology-name:purine nucleoside phosphorylase
COG:COG0015	biolink:close_match	OrthoDB:108901at2759	orthology-name:adenylosuccinate lyase
COG:COG0042	biolink:close_match	OrthoDB:10013074at2	orthology-name:trna dihydrouridine synthase
COG:COG0061	biolink:close_match	OrthoDB:10016563at2	orthology-name:nad kinase
COG:COG0061	biolink:close_match	OrthoDB:1116552at2	orthology-name:nad kinase
COG:COG0077	biolink:close_match	OrthoDB:10011171at2	orthology-name:prephenate dehydratase
COG:COG0077	biolink:close_match	OrthoDB:10015835at2	orthology-name:prephenate dehydratase
COG:COG0082	biolink:close_match	OrthoDB:10019775at2	orthology-name:chorismate synthase
COG:COG0082	biolink:close_match	OrthoDB:1039685at2759	orthology-name:chorismate synthase
COG:COG0082	biolink:close_match	OrthoDB:1118945at2	orthology-name:chorismate synthase
COG:COG0092	biolink:close_match	OrthoDB:1012148at2759	orthology-name:ribosomal protein s3
COG:COG0125	biolink:close_match	OrthoDB:1082039at2	orthology-name:thymidylate kinase
COG:COG0133	biolink:close_match	OMA:F0002589	orthology-name:tryptophan synthase beta chain
COG:COG0141	biolink:close_match	OrthoDB:10003571at2	orthology-name:histidinol dehydrogenase
COG:COG0141	biolink:close_match	OrthoDB:10018159at2	orthology-name:histidinol dehydrogenase
COG:COG0142	biolink:close_match	OrthoDB:1039654at2759	orthology-name:geranylgeranyl pyrophosphate synthase
COG:COG0149	biolink:close_match	OrthoDB:1086224at2	orthology-name:triosephosphate isomerase
COG:COG0152	biolink:close_match	OrthoDB:10775at2157	orthology-name:phosphoribosylaminoimidazole succinocarboxamide synthase
COG:COG0157	biolink:close_match	OrthoDB:115072at2157	orthology-name:nicotinate nucleotide pyrophosphorylase
COG:COG0158	biolink:close_match	OrthoDB:113521at2759	orthology-name:fructose 1 6 bisphosphatase
COG:COG0174	biolink:close_match	OrthoDB:1098909at2	orthology-name:glutamine synthetase
COG:COG0177	biolink:close_match	OMA:F0002744	orthology-name:endonuclease iii
COG:COG0181	biolink:close_match	OrthoDB:1149684at2	orthology-name:porphobilinogen deaminase
COG:COG0192	biolink:close_match	OrthoDB:1082893at2	orthology-name:s adenosylmethionine synthetase
COG:COG0193	biolink:close_match	OrthoDB:10015002at2	orthology-name:peptidyl trna hydrolase
COG:COG0193	biolink:close_match	OrthoDB:1120900at2	orthology-name:peptidyl trna hydrolase
COG:COG0193	biolink:close_match	OrthoDB:112589at2759	orthology-name:peptidyl trna hydrolase
COG:COG0194	biolink:close_match	OrthoDB:1033810at2	orthology-name:guanylate kinase
COG:COG0194	biolink:close_match	OrthoDB:1072778at2	orthology-name:guanylate kinase
COG:COG0198	biolink:close_match	OMA:F0000118	orthology-name:ribosomal protein l24
COG:COG0201	biolink:close_match	OrthoDB:10016928at2	orthology-name:preprotein translocase subunit secy
