trait_id	source_kind	source_namespace	source_accession	source_header	source_member	source_sequence_length	source_sequence_sha256	canonical_uniprot_id	status
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_001257946.1	WP_001257946.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	256	b44b21737a74413c60ba83091fc1dddce9a8f6944bbcdb145f8ae00f29958b2c		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	AAN28934.1	AAN28934.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	256	3e63ef379008de09b258af284dc25713cdc77d67ad52be4e5bf73b02a6eb8bd2		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_041853223.1	WP_041853223.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	263	d282960be8e3483ee88a6275bf2e04c43addd552c3f4c24362aed5c820c19887		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_010649230.1	WP_010649230.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	263	08439c8791495b702eb1a8dcba42aba156098cf2252780dfa1b9ff30c3c7c4fa		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	UniProtKB	Q0E7C9	tr|Q0E7C9|Q0E7C9_VIBAN	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	258	9e0c644586e21d4ac7c0cf102210fea481f72048e222f1cf39e8d7e86aaee69f		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_000654285.1	WP_000654285.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	262	b3de067c956e954d6dae23ff1fcd70de92fd4ac985aea11d4911e004c08bb1b1		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_011081751.1	WP_011081751.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	262	66d55637af328b9e5a4920242a9e48d3850cb2c7350c0b6adb0c241334c971db		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_011182612.1	WP_011182612.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	261	86bb8c6615e9f1efc757fc96d24f23a030472c454ccc376d059137fd691b3cbd		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	KJY85281.1	KJY85281.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	257	b94e8ddec0abc5f26de9413561dd1e38bf87f497e0959de7e71c899cb81386e7		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	UniProtKB	C5BUB9	tr|C5BUB9|C5BUB9_TERTT	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	255	829edd3bc3fde22877043c9df612eb3b96aadcf98e29d7b359cc3534e616582d		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_040136727.1	WP_040136727.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	251	f17cc50c017e88ec6fc181491efb8a5cf558b0c1068a6200f7b65f8bd11c7106		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_060724399.1	WP_060724399.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	251	9bb84af54ccca48d35e12c3fe17c62453bdbca78216ed755b86328d33cea0b2e		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_002966566.1	WP_002966566.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	258	57ab1685baae1982364c4d0cae2d18be9c3cfea633f7e3632854a1584dcd1bb4		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_063333096.1	WP_063333096.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	251	c561786ef1ff5cfe5b1777a1d109e2bc93cec5a82b149999488468ff5a402874		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	ABO89918.1	ABO89918.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	256	25b08a616d0dc7d026d3a7f7ed74edc3dc42b4129653b370a744b29b3bf9fd04		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_042528296.1	WP_042528296.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	248	418571e80a43d1a866952d4c1d54a4132d2ebb2fd8ece025bf652af8b6224c14		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	UniProtKB	P15047	sp|P15047|ENTA_ECOLI	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	248	d3a834dd4f1a528283e23d33cde0af9b39cb53a0d05fe83d58a4b7aba403ea26	UniProtKB:P15047	QUALIFIED
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	AHY08566.1	AHY08566.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	252	b105034f5018ad6eeaba33c68cf523be1dbb9d4a4fae642062d9f70ca068a8f1		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	AAK95835.1	AAK95835.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	252	da147d60ab05ef4f83ab80bd50afb03c02f86c18c1eae974bc01c43c0f4df19f		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	UniProtKB	E0SLE6	tr|E0SLE6|E0SLE6_DICD3	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	252	8a33eb63fa599a812f7f8eb5c9155e17209dc72c79de249f6766a33242aff077		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_041814966.1	WP_041814966.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	266	76dffc163d7c3595802a9805aab83b7a6812bd9f73c6beca315a47d11e612048		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	ABG96579.1	ABG96579.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	256	fa4ba8a0f399f4d83bff89f1367d55b955c43732888e455aab8a5532a4a47861		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_011748667.1	WP_011748667.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	256	5cfec07c6d885360da5770a5e199ca4ac6a0c818e6ae279f36f1034724167ae3		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	AAZ55906.1	AAZ55906.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	260	39cb23871f48d1e5fa0a897c875478684dedaf2f9000aed30ce2e5fac6bf21f8		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	AGK13423.1	AGK13423.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	265	6d83cc466bcd9fba4e4b896be7dbe582efc135de80f00929919e2eceb72d3daa		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	ABI87242.1	ABI87242.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	264	ee0ec77ceb304a1deefb4c1eaea86016d7cc88d4e3f766bf5d047e038cee11c0		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_015801551.1	WP_015801551.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	256	20ac99f911401368a83e2b5f502da8ce9d46504ba6f715f04d24dee0c5ae9ef4		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	UniProtKB	D2TVF5	tr|D2TVF5|D2TVF5_9ACTN	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	276	56bb72193d0d1d8362d6ea4a27ea1a904b8675c85fe25805fa7924337cac9d06		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	RefSeq	WP_023482532.1	WP_023482532.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	261	28932fc91954a661fea7e46cbe257adcff1d49237ae1a7dcb6774d74c506cb51		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	UniProtKB	P39071	sp|P39071|DHBA_BACSU	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	261	3ad966632e4f40aaebdcf1a8a9ea1fa21b24436c313ad629b4d954d63c563523	UniProtKB:P39071	QUALIFIED
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	SEG97358.1	SEG97358.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	258	e84278f73f8279c57d67d437d30aba7fbe4c4a490b8647294ed71bc644694a50		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	UniProtKB	F8SRH3	tr|F8SRH3|F8SRH3_9BACL	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	261	da6ca5818a070a297272ec18f9c7d15638519519091abd9359f323097cf77df4		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	AAG31126.1	AAG31126.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	257	0371ac543403e87ef5c5d626a6cd12554c6b03beb2d1230320e745c7622c29f3		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntA	seed_alignment	EMBL	KFE66587.1	KFE66587.1	nrp-metallophore-SI-main/1_rule_development/alignments/EntA.clw	257	46718a48493f0eabe76a853b8b3383a246a9a8542dce3a97839ab22cb154c2cc		SOURCE_ASSOCIATION_ONLY
