subject	predicate	object	relation_source
PROSITE:PRU01319	biolink:related_to	CATH:1.10.10.460	seq-struct-comembership|1.10.10.460|ex=3/3|UniProtKB:O75792,UniProtKB:P53942,UniProtKB:Q9CWY8
PROSITE:PRU01319	biolink:related_to	CATH:3.30.420.10	seq-struct-comembership|3.30.420.10|ex=3/3|UniProtKB:O75792,UniProtKB:P53942,UniProtKB:Q9CWY8
PROSITE:PS00011	biolink:related_to	CATH:2.10.25.10	seq-struct-comembership|2.10.25.10|ex=2/3|UniProtKB:P00742,UniProtKB:P22891,UniProtKB:Q9BZD6
PROSITE:PS00011	biolink:related_to	CATH:2.40.10.10	seq-struct-comembership|2.40.10.10|ex=2/3|UniProtKB:P00742,UniProtKB:P22891,UniProtKB:Q9BZD6
PROSITE:PS00011	biolink:related_to	CATH:4.10.740.10	seq-struct-comembership|4.10.740.10|ex=3/3|UniProtKB:P00742,UniProtKB:P22891,UniProtKB:Q9BZD6
PROSITE:PS00012	biolink:related_to	CATH:1.10.1200.10	seq-struct-comembership|1.10.1200.10|ex=4/4|UniProtKB:O14561,UniProtKB:P49327,UniProtKB:Q3SY69
PROSITE:PS00012	biolink:related_to	CATH:3.40.47.10	seq-struct-comembership|3.40.47.10|ex=2/4|UniProtKB:O14561,UniProtKB:P49327,UniProtKB:Q3SY69
PROSITE:PS00012	biolink:related_to	CATH:3.40.50.720	seq-struct-comembership|3.40.50.720|ex=2/4|UniProtKB:O14561,UniProtKB:P49327,UniProtKB:Q3SY69
PROSITE:PS00018	biolink:related_to	CATH:1.10.238.10	seq-struct-comembership|1.10.238.10|ex=5/5|UniProtKB:O75838,UniProtKB:O95843,UniProtKB:P07384
PROSITE:PS00019	biolink:related_to	CATH:1.10.418.10	seq-struct-comembership|1.10.418.10|ex=5/5|UniProtKB:O75369,UniProtKB:P12814,UniProtKB:P21333
PROSITE:PS00019	biolink:related_to	CATH:2.60.40.10	seq-struct-comembership|2.60.40.10|ex=3/5|UniProtKB:O75369,UniProtKB:P12814,UniProtKB:P21333
PROSITE:PS00020	biolink:related_to	CATH:1.10.418.10	seq-struct-comembership|1.10.418.10|ex=5/5|UniProtKB:O15020,UniProtKB:O75369,UniProtKB:P12814
PROSITE:PS00020	biolink:related_to	CATH:1.20.58.60	seq-struct-comembership|1.20.58.60|ex=3/5|UniProtKB:O15020,UniProtKB:O75369,UniProtKB:P12814
PROSITE:PS00021	biolink:related_to	CATH:2.40.10.10	seq-struct-comembership|2.40.10.10|ex=3/5|UniProtKB:P08519,UniProtKB:Q01974,UniProtKB:Q04756
PROSITE:PS00021	biolink:related_to	CATH:2.40.20.10	seq-struct-comembership|2.40.20.10|ex=5/5|UniProtKB:P08519,UniProtKB:Q01974,UniProtKB:Q04756
PROSITE:PS00022	biolink:related_to	CATH:2.10.25.10	seq-struct-comembership|2.10.25.10|ex=5/5|UniProtKB:A6BM72,UniProtKB:O15230,UniProtKB:O43854
PROSITE:PS00023	biolink:related_to	CATH:2.10.10.10	seq-struct-comembership|2.10.10.10|ex=5/5|UniProtKB:O60449,UniProtKB:P08253,UniProtKB:P22897
PROSITE:PS00023	biolink:related_to	CATH:2.80.10.50	seq-struct-comembership|2.80.10.50|ex=3/5|UniProtKB:O60449,UniProtKB:P08253,UniProtKB:P22897
PROSITE:PS00023	biolink:related_to	CATH:3.10.100.10	seq-struct-comembership|3.10.100.10|ex=3/5|UniProtKB:O60449,UniProtKB:P08253,UniProtKB:P22897
PROSITE:PS00024	biolink:related_to	CATH:2.110.10.10	seq-struct-comembership|2.110.10.10|ex=5/5|UniProtKB:P03956,UniProtKB:P08253,UniProtKB:P45452
PROSITE:PS00024	biolink:related_to	CATH:3.40.390.10	seq-struct-comembership|3.40.390.10|ex=5/5|UniProtKB:P03956,UniProtKB:P08253,UniProtKB:P45452
PROSITE:PS00025	biolink:related_to	CATH:4.10.110.10	seq-struct-comembership|4.10.110.10|ex=5/5|UniProtKB:P04155,UniProtKB:P10253,UniProtKB:Q03403
PROSITE:PS00026	biolink:related_to	CATH:1.10.530.10	seq-struct-comembership|1.10.530.10|ex=4/5|UniProtKB:P19171,UniProtKB:P25765,UniProtKB:P43082
PROSITE:PS00026	biolink:related_to	CATH:3.30.20.10	seq-struct-comembership|3.30.20.10|ex=4/5|UniProtKB:P19171,UniProtKB:P25765,UniProtKB:P43082
PROSITE:PS00026	biolink:related_to	CATH:3.30.60.10	seq-struct-comembership|3.30.60.10|ex=5/5|UniProtKB:P19171,UniProtKB:P25765,UniProtKB:P43082
PROSITE:PS00027	biolink:related_to	CATH:1.10.10.60	seq-struct-comembership|1.10.10.60|ex=5/5|UniProtKB:A6NCS4,UniProtKB:O14813,UniProtKB:O15266
PROSITE:PS00028	biolink:related_to	CATH:3.30.160.60	seq-struct-comembership|3.30.160.60|ex=5/5|UniProtKB:O14628,UniProtKB:O15156,UniProtKB:O43474
PROSITE:PS00031	biolink:related_to	CATH:1.10.565.10	seq-struct-comembership|1.10.565.10|ex=5/5|UniProtKB:O00482,UniProtKB:O75469,UniProtKB:P10276
PROSITE:PS00031	biolink:related_to	CATH:3.30.50.10	seq-struct-comembership|3.30.50.10|ex=5/5|UniProtKB:O00482,UniProtKB:O75469,UniProtKB:P10276
PROSITE:PS00032	biolink:related_to	CATH:1.10.10.60	seq-struct-comembership|1.10.10.60|ex=5/5|UniProtKB:O43365,UniProtKB:P09017,UniProtKB:P13378
PROSITE:PS00033	biolink:related_to	CATH:1.10.10.60	seq-struct-comembership|1.10.10.60|ex=5/5|UniProtKB:P02836,UniProtKB:P09015,UniProtKB:P09065
PROSITE:PS00034	biolink:related_to	CATH:1.10.10.10	seq-struct-comembership|1.10.10.10|ex=5/5|UniProtKB:O43316,UniProtKB:P23759,UniProtKB:P23760
PROSITE:PS00034	biolink:related_to	CATH:1.10.10.60	seq-struct-comembership|1.10.10.60|ex=4/5|UniProtKB:O43316,UniProtKB:P23759,UniProtKB:P23760
PROSITE:PS00035	biolink:related_to	CATH:1.10.10.60	seq-struct-comembership|1.10.10.60|ex=5/5|UniProtKB:P09086,UniProtKB:P20264,UniProtKB:P28069
PROSITE:PS00035	biolink:related_to	CATH:1.10.260.40	seq-struct-comembership|1.10.260.40|ex=5/5|UniProtKB:P09086,UniProtKB:P20264,UniProtKB:P28069
PROSITE:PS00036	biolink:related_to	CATH:1.20.5.170	seq-struct-comembership|1.20.5.170|ex=4/5|UniProtKB:O43889,UniProtKB:P17861,UniProtKB:P18846
PROSITE:PS00039	biolink:related_to	CATH:3.40.50.300	seq-struct-comembership|3.40.50.300|ex=5/5|UniProtKB:P17844,UniProtKB:P26196,UniProtKB:P38919
PROSITE:PS00041	biolink:related_to	CATH:1.10.10.60	seq-struct-comembership|1.10.10.60|ex=5/5|UniProtKB:P06134,UniProtKB:P09377,UniProtKB:P0A9E0
PROSITE:PS00042	biolink:related_to	CATH:1.10.10.10	seq-struct-comembership|1.10.10.10|ex=5/5|UniProtKB:P0A2T6,UniProtKB:P0A9E5,UniProtKB:P0ACJ8
PROSITE:PS00042	biolink:related_to	CATH:2.60.120.10	seq-struct-comembership|2.60.120.10|ex=5/5|UniProtKB:P0A2T6,UniProtKB:P0A9E5,UniProtKB:P0ACJ8
PROSITE:PS00045	biolink:related_to	CATH:4.10.520.10	seq-struct-comembership|4.10.520.10|ex=5/5|UniProtKB:P08821,UniProtKB:P0A6X7,UniProtKB:P0A6Y1
PROSITE:PS00046	biolink:related_to	CATH:1.10.20.10	seq-struct-comembership|1.10.20.10|ex=5/5|UniProtKB:P0C0S8,UniProtKB:P20671,UniProtKB:Q16777
PROSITE:PS00047	biolink:related_to	CATH:1.10.20.10	seq-struct-comembership|1.10.20.10|ex=5/5|UniProtKB:P02309,UniProtKB:P59259,UniProtKB:P62784
PROSITE:PS00049	biolink:related_to	CATH:2.40.150.20	seq-struct-comembership|2.40.150.20|ex=5/5|UniProtKB:P0ADY3,UniProtKB:P0CX41,UniProtKB:P62829
PROSITE:PS00050	biolink:related_to	CATH:3.30.70.330	seq-struct-comembership|3.30.70.330|ex=5/5|UniProtKB:P04456,UniProtKB:P0ADZ0,UniProtKB:P62750
PROSITE:PS00051	biolink:related_to	CATH:1.10.1620.10	seq-struct-comembership|1.10.1620.10|ex=5/5|UniProtKB:P04650,UniProtKB:P13005,UniProtKB:P62891
PROSITE:PS00052	biolink:related_to	CATH:1.10.455.10	seq-struct-comembership|1.10.455.10|ex=5/5|UniProtKB:P02359,UniProtKB:P24050,UniProtKB:P26783
PROSITE:PS00053	biolink:related_to	CATH:3.30.1370.30	seq-struct-comembership|3.30.1370.30|ex=5/5|UniProtKB:P0A7W7,UniProtKB:P0C0W1,UniProtKB:P62244
PROSITE:PS00053	biolink:related_to	CATH:3.30.1490.10	seq-struct-comembership|3.30.1490.10|ex=5/5|UniProtKB:P0A7W7,UniProtKB:P0C0W1,UniProtKB:P62244
PROSITE:PS00054	biolink:related_to	CATH:3.30.420.80	seq-struct-comembership|3.30.420.80|ex=5/5|UniProtKB:P06367,UniProtKB:P0A7R9,UniProtKB:P13471
