subject	predicate	object	relation_source
CATH:1.10.10.1200	biolink:related_to	GO:0000122	trait-implies-biological-process|conf=0.98|balanced=1.00|organisms=2|lift=36x|n=43|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.10.1210	biolink:related_to	GO:0000122	trait-implies-biological-process|conf=0.98|balanced=1.00|organisms=2|lift=36x|n=45|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.10.750	biolink:related_to	GO:0005096	trait-implies-molecular-function|conf=0.98|balanced=0.98|organisms=2|lift=117x|n=50|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.10.820	biolink:related_to	GO:0005524	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=6|lift=10x|n=109|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.10.820	biolink:related_to	GO:0051015	trait-implies-molecular-function|conf=0.95|balanced=0.96|organisms=6|lift=125x|n=104|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.1000.11	biolink:related_to	GO:0005085	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=4|lift=142x|n=47|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.1000.11	biolink:related_to	GO:0032012	trait-implies-biological-process|conf=0.96|balanced=0.95|organisms=4|lift=1345x|n=45|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.1300.10	biolink:related_to	GO:0004115	trait-implies-molecular-function|conf=0.98|balanced=0.99|organisms=4|lift=1250x|n=59|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.1300.10	biolink:related_to	GO:0046872	trait-implies-molecular-function|conf=0.97|balanced=0.98|organisms=4|lift=14x|n=58|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.1300.10	biolink:related_to	GO:0141162	trait-implies-biological-process|conf=0.95|balanced=0.92|organisms=4|lift=1042x|n=57|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.150.60	biolink:related_to	GO:0003677	trait-implies-molecular-function|conf=0.96|balanced=0.98|organisms=3|lift=18x|n=49|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.20.10	biolink:related_to	GO:0046982	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=7|lift=85x|n=303|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.220.10	biolink:related_to	GO:0001786	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=3|lift=491x|n=37|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.220.10	biolink:related_to	GO:0005509	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=3|lift=45x|n=37|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.220.10	biolink:related_to	GO:0005544	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=3|lift=602x|n=37|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.220.150	biolink:related_to	GO:0005096	trait-implies-molecular-function|conf=0.99|balanced=0.99|organisms=4|lift=118x|n=76|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.220.150	biolink:related_to	GO:0008270	trait-implies-molecular-function|conf=0.96|balanced=0.97|organisms=4|lift=12x|n=74|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.220.20	biolink:related_to	GO:0005085	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=3|lift=142x|n=35|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.220.20	biolink:related_to	GO:0032012	trait-implies-biological-process|conf=1.00|balanced=1.00|organisms=3|lift=1405x|n=35|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.287.600	biolink:related_to	GO:0000278	trait-implies-biological-process|conf=1.00|balanced=1.00|organisms=5|lift=201x|n=81|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
CATH:1.10.287.600	biolink:related_to	GO:0005525	trait-implies-molecular-function|conf=1.00|balanced=1.00|organisms=5|lift=56x|n=81|Swiss-Prot(Homo sapiens,Mus musculus,Arabidopsis thaliana,Saccharomyces cerevisiae,Escherichia coli,Caenorhabditis elegans,Bacillus subtilis,Drosophila melanogaster,Methanocaldococcus jannaschii,Plasmodium falciparum)
