subject	predicate	object	relation_source
Reactome:R-HSA-1237044	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Bicarbonate_transport	go-bp-GO:0015701
Reactome:R-HSA-1247673	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Bicarbonate_transport	go-bp-GO:0015701
Reactome:R-HSA-1475029	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Bicarbonate_transport	go-bp-GO:0015701
Reactome:R-HSA-1480926	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Bicarbonate_transport	go-bp-GO:0015701
Reactome:R-HSA-1483191	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Phosphatidylcholine_synthesis	go-bp-GO:0006656
Reactome:R-HSA-2142789	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Ubiquinone_biosynthesis	go-bp-GO:0006744
Reactome:R-HSA-351202	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Polyamine_Metabolism	go-bp-GO:0006595
Reactome:R-HSA-390918	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Fatty_acid_degradation	go-bp-GO:0009062
Reactome:R-HSA-425381	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Bicarbonate_transport	go-bp-GO:0015701
Reactome:R-HSA-70635	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Urea_cycle	go-bp-GO:0000050
Reactome:R-HSA-70921	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Histidine_Degradation	go-bp-GO:0006548
Reactome:R-HSA-71336	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Pentose_phosphate_pathway	go-bp-GO:0006098
Reactome:R-HSA-71403	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_TCA_Cycle	go-bp-GO:0006099
Reactome:R-HSA-8982491	biolink:close_match	proteintraitsmech:SEED_SUBSYSTEM_Glycogen_metabolism	go-bp-GO:0005977
