id	family	descriptor	priority	evidence_mode	scope	context_or_method	existing_ptmech_coverage	decision	primary_source
B01	Electrostatics and ionization	Net electric charge Q(pH)	PILOT	sequence model or experiment	protein or specified segment	pH; pKa set; terminal groups; PTMs; cofactors; signed Q/L is a derived normalization	PATO:0002193/2194/2195/2196 already seeded	Reuse quality anchors; store signed quantitative estimate and conditions	https://biopython.org/docs/latest/api/Bio.SeqUtils.ProtParam.html
B02	Electrostatics and ionization	Isoelectric point pI	PILOT	sequence model or experiment	defined proteoform	pKa model; titration range; terminal groups; modification state	No exact isoelectric-point label in audited corpus	Add operational descriptor; distinguish predicted pI from measured pI	https://web.expasy.org/protparam/protparam-doc.html
B03	Electrostatics and ionization	Basic-residue fraction f(K+R)	PILOT	sequence calculation	protein or segment	State residue alphabet; histidine is not silently counted as permanently charged	SEQ_COMPOSITION exists in schema but has zero root records	Add descriptor; it is compositional and not actual net charge	https://pappulab.github.io/localCIDER/
B04	Electrostatics and ionization	Acidic-residue fraction f(D+E)	PILOT	sequence calculation	protein or segment	State residue alphabet; actual ionization remains pH-dependent	SEQ_COMPOSITION exists in schema but has zero root records	Add descriptor; keep distinct from acidity of assay solution	https://pappulab.github.io/localCIDER/
B05	Electrostatics and ionization	Fraction of charged residues FCR	PILOT	sequence calculation or titration model	protein or segment	Default neutral-pH convention uses K/R/D/E; store convention; do not confuse with net charge	Generic charge anchor present; no typed descriptor observations	Derive from B03+B04; retain as useful normalized summary, not independent new biology	https://pubmed.ncbi.nlm.nih.gov/23901099/
B06	Electrostatics and ionization	Charge patterning	PILOT	sequence calculation	specified segment, especially IDRs	Declare kappa or SCD method; domain of applicability; undefined cases; fixed segment	No general numeric observation model in audited schema	Add one descriptor family with named methods; preserve ordering information	https://pubmed.ncbi.nlm.nih.gov/23901099/
B07	Electrostatics and ionization	Surface electrostatic potential and charge patches	LATER	structure-based model	specified molecular surface	pH/protonation; ionic strength; dielectric model; structure and conformer	STRUCT_SURFACE and generic charge anchors already exist	Enrich surface traits; do not substitute whole-chain Q for a local potential map	https://pmc.ncbi.nlm.nih.gov/articles/PMC5734301/
B08	Water and membrane affinity	Mean hydropathy / water affinity	PILOT	sequence scale calculation	protein or segment	Named scale, original units and orientation; hydrophilic and hydrophobic are opposing qualitative descriptions	PATO:0001884/1885 exist; PATO:0001886/1887 are in raw ontology but not imported	Reuse existing anchors; propose importing missing sibling qualities; store numerical scale result	https://web.expasy.org/protparam/protparam-doc.html
B09	Water and membrane affinity	Local hydropathy profile and peaks	PILOT	sequence scale calculation	specified windows	Window width; weighting; edge handling; scale; preserve coordinates	Sequence-pattern and transmembrane categories exist; no typed profile-value model	Add localized descriptor; a peak alone does not prove membrane insertion	https://biopython.org/docs/latest/api/Bio.SeqUtils.ProtParam.html
B10	Water and membrane affinity	Amphipathicity / hydrophobic moment	PILOT	sequence geometry model	helix or strand candidate segment	Scale; assumed residue rotation; segment length; model versus observed geometry	Related amphipathic structural families exist; generic PATO:0002420 has a problematic histological parent	Add explicitly defined descriptor; review ontology mapping before import	https://pubmed.ncbi.nlm.nih.gov/7110359/
B11	Water and membrane affinity	Exposed hydrophobic surface area	LATER	structure calculation	surface of selected structure or assembly	SASA algorithm; atom/residue classification; probe radius; conformer	STRUCT_SURFACE exists	Add structure-based measurement; not equivalent to mean sequence hydropathy	https://pubmed.ncbi.nlm.nih.gov/26973785/
B12	Water and membrane affinity	Membrane partition or transfer free energy	LATER	experiment or specified model	defined construct and membrane system	Lipid mixture; phases; temperature; pH; standard state; sign convention	Transmembrane and membrane-associated records provide related concepts	Add condition-specific observation; no universal membrane-affinity scalar	https://pubmed.ncbi.nlm.nih.gov/17532340/
B13	Composition and heterogeneity	Amino-acid composition vector	PILOT	sequence calculation	protein or segment	20 standard fractions plus explicit ambiguous/nonstandard-residue policy	SEQ_COMPOSITION exists in schema; canonical sequences support computation	Store one vector descriptor, not 20 automatically minted classes	https://biopython.org/docs/latest/api/Bio.SeqUtils.ProtParam.html
B14	Composition and heterogeneity	Aromatic-residue fraction	DERIVED_METADATA	sequence calculation	protein or segment	Declare F/W/Y convention	Derivable from B13	Expose as derived facet where useful; do not count as independent of composition	https://biopython.org/docs/latest/api/Bio.SeqUtils.ProtParam.html
B15	Composition and heterogeneity	Polar uncharged-residue fraction	DERIVED_METADATA	sequence calculation	protein or segment	Explicit residue-set convention; distinguish fraction from molecular dipole	Raw PATO:0002186/2187/2188 describe molecular polarity, not this fraction	Expose derived facet; avoid exact-equivalence mapping to whole-molecule polarity	https://www.genome.jp/aaindex/aaindex_help.html
B16	Composition and heterogeneity	Sequence complexity / compositional bias	PILOT	sequence calculation	whole sequence and local windows	Shannon entropy or named low-complexity method; alphabet and window; method-specific cutoff	SEQ_LOW_COMPLEXITY exists in schema but has zero root records	Reuse existing category; avoid calling low complexity intrinsic disorder	https://pubmed.ncbi.nlm.nih.gov/8743706/
B17	Size and shape	Sequence length	DERIVED_METADATA	sequence calculation	specified chain or segment	Sequence version; mature chain versus precursor	sequence_length is already represented on protein/example objects	Reuse metadata; do not mint one trait per length or arbitrary bin	https://web.expasy.org/protparam/protparam-doc.html
B18	Size and shape	Molecular mass	DERIVED_METADATA	sequence calculation or experiment	defined proteoform or assembly	Average versus monoisotopic; PTMs; cleavage; oligomerization; units	ProteinReference binds sequence but has no mass observation field	Add metadata/measurement when needed; mass ranges need a justified use case	https://web.expasy.org/protparam/protparam-doc.html
B19	Size and shape	Radius of gyration Rg	LATER	structure/ensemble calculation or experiment	chain or assembly ensemble	Conformational ensemble; solution conditions; averaging convention; length units	Structural geometry anchors exist	Add qualified descriptor; one predicted conformer is not a solution ensemble	https://pubmed.ncbi.nlm.nih.gov/28793210/
B20	Size and shape	Hydrodynamic radius Rh	LATER	experiment or explicit hydrodynamic model	solution species	Temperature; viscosity; solvent; assembly; model	No general numeric observation model in audited schema	Add separately from Rg; they are related but not identical observables	https://pubmed.ncbi.nlm.nih.gov/28793210/
B21	Conformation and dynamics	Secondary-structure content	LATER	structure assignment or sequence prediction	protein or segment	Assignment alphabet; method; structure or predictor; ensemble	SecondaryStructureRepresentation and STRUCT_SECONDARY already exist	Enrich existing representation; propensity fractions are not measured helix/sheet content	https://pmc.ncbi.nlm.nih.gov/articles/PMC9252760/
B22	Conformation and dynamics	Disordered fraction and disordered segments	PILOT	prediction or experiment	protein and intervals	Predictor/version/mode; threshold; observed versus predicted; condition-sensitive disorder	SEQ_DISORDER records already exist	Reuse existing traits; add per-protein profiles and evidence mode	https://iupred3.elte.hu/
B23	Conformation and dynamics	Flexibility / residue mobility	LATER	experiment or explicit model	residue, segment or ensemble	Observable definition; NMR versus simulation versus crystallographic measure; conditions	PATO flexibility/elasticity terms already present	Enrich qualified observations; do not equate B-factors, disorder and flexibility	https://pubmed.ncbi.nlm.nih.gov/35213160/
B24	Conformation and dynamics	Compactness / asphericity	LATER	structure or ensemble calculation	chain or assembly	Shape statistic; size normalization; ensemble; conditions	Structural geometry representation exists	Add numerical structural descriptor where an interpretable question requires it	https://pubmed.ncbi.nlm.nih.gov/28793210/
B25	Stability and folding	Thermal unfolding midpoint Tm	LATER	experiment or prediction	defined construct/proteoform	Assay; pH; buffer; ligand; scan rate; reversibility; temperature units	Thermal-stability classes already seeded	Populate existing stability concepts with qualified measurements	https://pubmed.ncbi.nlm.nih.gov/33196841/
B26	Stability and folding	Unfolding free energy	LATER	experiment or explicit model	defined construct/proteoform	Temperature; conditions; standard state; unfolding versus folding sign; model	STRUCT_STABILITY and PATO stability anchors exist	Add measurement; do not equate Tm or an instability score with DeltaG	https://pubmed.ncbi.nlm.nih.gov/33196841/
B27	Stability and folding	Chemical-denaturation midpoint Cm	LATER	experiment	defined construct/proteoform	Denaturant identity; concentration unit; buffer; temperature; equilibrium model	Chemical-denaturant stability classes already seeded	Add observation linked to existing condition-qualified class	https://pubmed.ncbi.nlm.nih.gov/33196841/
B28	Stability and folding	Folding rate	LATER	experiment or prediction	defined construct and transition	Temperature; solvent; kinetic model; rate units; rate extrapolation	No general numeric observation model in audited schema	Treat kinetic behavior separately from equilibrium stability	https://pmc.ncbi.nlm.nih.gov/articles/PMC6367381/
B29	Stability and folding	Unfolding rate	LATER	experiment or prediction	defined construct and transition	Temperature; denaturant; kinetic model; applied force when relevant	No general numeric observation model in audited schema	Store distinct rate; do not infer automatically from folding rate	https://pmc.ncbi.nlm.nih.gov/articles/PMC6367381/
B30	Solution and assembly	Equilibrium solubility	LATER	experiment; separate prediction scores	defined construct/proteoform	Solvent; pH; temperature; ionic strength; concentration units; equilibrium criterion	PATO solubility branch already present, currently routed to STRUCT_SURFACE	Enrich and review routing; hydropathy is not a solubility assay	https://pmc.ncbi.nlm.nih.gov/articles/PMC8996476/
B31	Solution and assembly	Aggregation propensity / kinetics	LATER	experiment or named prediction model	construct and experimental system	Specify observable: lag time, rate or model score; temperature; concentration; agitation	Related sequence/family labels are not a generic aggregation measurement	Use explicit assay/model identity; never pool incompatible outputs	https://pubmed.ncbi.nlm.nih.gov/15361882/
