subject	predicate	object	relation_source
ELM:ELME000002	biolink:overlaps	ELM:ELME000250	func-site-coord-overlap|UniProtKB:P49715|n=1
ELM:ELME000002	biolink:overlaps	ELM:ELME000251	func-site-coord-overlap|UniProtKB:P49715,UniProtKB:P56524|n=2
ELM:ELME000002	biolink:overlaps	ELM:ELME000252	func-site-coord-overlap|UniProtKB:P49715|n=1
ELM:ELME000002	biolink:overlaps	Pfam:PF02155	func-site-coord-overlap|UniProtKB:P04150|n=1
ELM:ELME000008	biolink:overlaps	Pfam:PF00769	func-site-coord-overlap|UniProtKB:P35240|n=1
ELM:ELME000008	biolink:overlaps	Pfam:PF08210	func-site-coord-overlap|UniProtKB:Q9GZX7|n=1
ELM:ELME000013	biolink:overlaps	ELM:ELME000571	func-site-coord-overlap|UniProtKB:P06241,UniProtKB:P08631,UniProtKB:P12931|n=3
ELM:ELME000053	biolink:overlaps	ELM:ELME000006	func-site-coord-overlap|UniProtKB:P01106|n=1
ELM:ELME000053	biolink:overlaps	ELM:ELME000269	func-site-coord-overlap|UniProtKB:P35222,UniProtKB:P98174,UniProtKB:Q5JSP0|n=3
ELM:ELME000053	biolink:overlaps	Pfam:PF02809	func-site-coord-overlap|UniProtKB:P54252|n=1
ELM:ELME000053	biolink:overlaps	Pfam:PF03957	func-site-coord-overlap|UniProtKB:P05412|n=1
ELM:ELME000053	biolink:overlaps	Pfam:PF12196	func-site-coord-overlap|UniProtKB:Q9BYG3|n=1
ELM:ELME000053	biolink:overlaps	Pfam:PF12497	func-site-coord-overlap|UniProtKB:Q92731|n=1
ELM:ELME000053	biolink:related_to	ELM:ELME000289	func-site-coord-overlap|UniProtKB:P01106,UniProtKB:P05412,UniProtKB:P24864,UniProtKB:P24864-3|n=4
ELM:ELME000060	biolink:overlaps	Pfam:PF05394	func-site-coord-overlap|UniProtKB:P13835|n=1
ELM:ELME000060	biolink:overlaps	Pfam:PF05466	func-site-coord-overlap|UniProtKB:Q05175|n=1
ELM:ELME000060	biolink:overlaps	Pfam:PF09742	func-site-coord-overlap|UniProtKB:Q7RTS9|n=1
ELM:ELME000061	biolink:overlaps	ELM:ELME000140	func-site-coord-overlap|UniProtKB:P38936|n=1
ELM:ELME000061	biolink:overlaps	ELM:ELME000323	func-site-coord-overlap|UniProtKB:P38936|n=1
ELM:ELME000061	biolink:overlaps	ELM:ELME000417	func-site-coord-overlap|UniProtKB:Q61337|n=1
ELM:ELME000061	biolink:overlaps	Pfam:PF10514	func-site-coord-overlap|UniProtKB:Q61337|n=1
ELM:ELME000061	biolink:overlaps	Pfam:PF12820	func-site-coord-overlap|UniProtKB:P38398|n=1
ELM:ELME000062	biolink:overlaps	ELM:ELME000086	func-site-coord-overlap|UniProtKB:O88602|n=1
ELM:ELME000062	biolink:overlaps	Pfam:PF00653	func-site-coord-overlap|UniProtKB:O15392|n=1
ELM:ELME000063	biolink:overlaps	Pfam:PF04111	func-site-coord-overlap|UniProtKB:Q14457|n=1
ELM:ELME000063	biolink:overlaps	Pfam:PF05923	func-site-coord-overlap|UniProtKB:P25054|n=1
ELM:ELME000063	biolink:overlaps	Pfam:PF06393	func-site-coord-overlap|UniProtKB:P70444|n=1
ELM:ELME000064	biolink:overlaps	Pfam:PF00183	func-site-coord-overlap|UniProtKB:P08238|n=1
ELM:ELME000064	biolink:overlaps	Pfam:PF08597	func-site-coord-overlap|UniProtKB:O75822|n=1
ELM:ELME000070	biolink:overlaps	Pfam:PF00135	func-site-coord-overlap|UniProtKB:P22303|n=1
ELM:ELME000070	biolink:overlaps	Pfam:PF00431	func-site-coord-overlap|UniProtKB:P13497|n=1
