subject	predicate	object	relation_source
EC:1.1.1.1	biolink:close_match	RHEA:10736	anchor-RHEA:10736
EC:1.1.1.1	biolink:close_match	RHEA:10740	anchor-RHEA:10740
EC:1.1.1.1	biolink:close_match	RHEA:25290	anchor-RHEA:25290
EC:1.1.1.10	biolink:close_match	RHEA:17025	anchor-RHEA:17025
EC:1.1.1.100	biolink:close_match	RHEA:17397	anchor-RHEA:17397
EC:1.1.1.101	biolink:close_match	RHEA:17341	anchor-RHEA:17341
EC:1.1.1.101	biolink:close_match	RHEA:36175	anchor-RHEA:36175
EC:1.1.1.102	biolink:close_match	RHEA:22640	anchor-RHEA:22640
EC:1.1.1.103	biolink:close_match	RHEA:13161	anchor-RHEA:13161
EC:1.1.1.104	biolink:close_match	RHEA:13601	anchor-RHEA:13601
EC:1.1.1.105	biolink:close_match	RHEA:21284	anchor-RHEA:21284
EC:1.1.1.105	biolink:close_match	RHEA:48488	anchor-RHEA:48488
EC:1.1.1.106	biolink:close_match	RHEA:23000	anchor-RHEA:23000
EC:1.1.1.107	biolink:close_match	RHEA:21336	anchor-RHEA:21336
EC:1.1.1.108	biolink:close_match	RHEA:19265	anchor-RHEA:19265
EC:1.1.1.11	biolink:close_match	RHEA:17921	anchor-RHEA:17921
EC:1.1.1.110	biolink:close_match	RHEA:10780	anchor-RHEA:10780
EC:1.1.1.110	biolink:close_match	RHEA:20133	anchor-RHEA:20133
EC:1.1.1.110	biolink:close_match	RHEA:38351	anchor-RHEA:38351
EC:1.1.1.111	biolink:close_match	RHEA:12036	anchor-RHEA:12036
EC:1.1.1.111	biolink:close_match	RHEA:12040	anchor-RHEA:12040
EC:1.1.1.112	biolink:close_match	RHEA:16317	anchor-RHEA:16317
EC:1.1.1.112	biolink:close_match	RHEA:16321	anchor-RHEA:16321
EC:1.1.1.113	biolink:close_match	RHEA:15789	anchor-RHEA:15789
EC:1.1.1.114	biolink:close_match	RHEA:15301	anchor-RHEA:15301
EC:1.1.1.115	biolink:close_match	RHEA:11676	anchor-RHEA:11676
EC:1.1.1.116	biolink:close_match	RHEA:20457	anchor-RHEA:20457
EC:1.1.1.117	biolink:close_match	RHEA:20457	anchor-RHEA:20457
EC:1.1.1.117	biolink:close_match	RHEA:21892	anchor-RHEA:21892
EC:1.1.1.118	biolink:close_match	RHEA:14293	anchor-RHEA:14293
EC:1.1.1.119	biolink:close_match	RHEA:14405	anchor-RHEA:14405
EC:1.1.1.12	biolink:close_match	RHEA:16381	anchor-RHEA:16381
EC:1.1.1.120	biolink:close_match	RHEA:18625	anchor-RHEA:18625
EC:1.1.1.121	biolink:close_match	RHEA:15917	anchor-RHEA:15917
EC:1.1.1.122	biolink:close_match	RHEA:19645	anchor-RHEA:19645
EC:1.1.1.122	biolink:close_match	RHEA:81515	anchor-RHEA:81515
EC:1.1.1.122	biolink:close_match	RHEA:81519	anchor-RHEA:81519
EC:1.1.1.122	biolink:close_match	RHEA:81523	anchor-RHEA:81523
EC:1.1.1.123	biolink:close_match	RHEA:15001	anchor-RHEA:15001
EC:1.1.1.124	biolink:close_match	RHEA:14069	anchor-RHEA:14069
EC:1.1.1.125	biolink:close_match	RHEA:12160	anchor-RHEA:12160
EC:1.1.1.126	biolink:close_match	RHEA:15109	anchor-RHEA:15109
EC:1.1.1.127	biolink:close_match	RHEA:24232	anchor-RHEA:24232
EC:1.1.1.129	biolink:close_match	RHEA:23376	anchor-RHEA:23376
EC:1.1.1.13	biolink:close_match	RHEA:21356	anchor-RHEA:21356
EC:1.1.1.130	biolink:close_match	RHEA:21924	anchor-RHEA:21924
EC:1.1.1.130	biolink:close_match	RHEA:21928	anchor-RHEA:21928
EC:1.1.1.131	biolink:close_match	RHEA:10632	anchor-RHEA:10632
EC:1.1.1.131	biolink:close_match	RHEA:10636	anchor-RHEA:10636
EC:1.1.1.132	biolink:close_match	RHEA:21728	anchor-RHEA:21728
EC:1.1.1.133	biolink:close_match	RHEA:21796	anchor-RHEA:21796
EC:1.1.1.134	biolink:close_match	RHEA:23648	anchor-RHEA:23648
EC:1.1.1.135	biolink:close_match	RHEA:10724	anchor-RHEA:10724
EC:1.1.1.135	biolink:close_match	RHEA:10728	anchor-RHEA:10728
EC:1.1.1.136	biolink:close_match	RHEA:13325	anchor-RHEA:13325
EC:1.1.1.137	biolink:close_match	RHEA:19921	anchor-RHEA:19921
EC:1.1.1.137	biolink:close_match	RHEA:19925	anchor-RHEA:19925
EC:1.1.1.138	biolink:close_match	RHEA:16765	anchor-RHEA:16765
EC:1.1.1.14	biolink:close_match	RHEA:10160	anchor-RHEA:10160
EC:1.1.1.14	biolink:close_match	RHEA:33031	anchor-RHEA:33031
EC:1.1.1.140	biolink:close_match	RHEA:19837	anchor-RHEA:19837
EC:1.1.1.141	biolink:close_match	RHEA:11876	anchor-RHEA:11876
EC:1.1.1.142	biolink:close_match	RHEA:20437	anchor-RHEA:20437
EC:1.1.1.143	biolink:close_match	RHEA:11300	anchor-RHEA:11300
EC:1.1.1.144	biolink:close_match	RHEA:10664	anchor-RHEA:10664
EC:1.1.1.145	biolink:close_match	RHEA:24076	anchor-RHEA:24076
EC:1.1.1.145	biolink:close_match	RHEA:43932	anchor-RHEA:43932
EC:1.1.1.146	biolink:close_match	RHEA:11388	anchor-RHEA:11388
EC:1.1.1.147	biolink:close_match	RHEA:19857	anchor-RHEA:19857
EC:1.1.1.147	biolink:close_match	RHEA:19861	anchor-RHEA:19861
EC:1.1.1.148	biolink:close_match	RHEA:16701	anchor-RHEA:16701
EC:1.1.1.148	biolink:close_match	RHEA:16705	anchor-RHEA:16705
EC:1.1.1.149	biolink:close_match	RHEA:15853	anchor-RHEA:15853
EC:1.1.1.149	biolink:close_match	RHEA:15857	anchor-RHEA:15857
EC:1.1.1.15	biolink:close_match	RHEA:12725	anchor-RHEA:12725
EC:1.1.1.15	biolink:close_match	RHEA:68100	anchor-RHEA:68100
